"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.966217809714e-06,3.42206085270313,0.41,0.219,0.0465718350408859,"CD36"
7.00746214799467e-06,1.8586409649574,0.525,0.536,0.165978748437402,"APOBEC3A"
3.74488028082743e-05,2.48312250468844,0.377,0.126,0.887012343316784,"CD300E"
4.51103837306106e-05,2.62714104963298,0.262,0.071,1,"BST1"
0.000122194591543553,1.95001433398937,0.41,0.158,1,"TWISTNB"
0.000148079023965739,1.44208775552355,0.525,0.251,1,"GLIPR2"
0.000180191210997652,-1.30864652718959,0.213,0.393,1,"GGTA1P"
0.000210927452958181,1.21810281825226,0.607,0.284,1,"CWC22"
0.00022161149513464,1.31677898230229,0.213,0.29,1,"ZNF551"
0.00023982845527881,0.674556473255762,0.328,0.432,1,"ERI1"
0.000319286929855729,1.45355897013508,0.59,0.372,1,"SERINC5"
0.000465987774687952,2.36115708151593,0.393,0.224,1,"FAM65B"
0.000515477329102803,-0.661223365668293,0.607,0.727,1,"SLC2A5"
0.000559588089646504,0.522585790200232,0.754,0.443,1,"NDUFB3"
0.000572349227659207,0.710511137633872,0.426,0.175,1,"PSMG3"
0.000652962481081309,1.0489147379915,0.623,0.333,1,"CARD16"
0.000669137326511039,1.35198748619598,0.328,0.109,1,"ICAM3"
0.000748789474248911,1.07548793345447,0.869,0.907,1,"GK5"
0.000854188039591873,0.75423078305095,0.738,0.749,1,"PLAC8"
0.000858219979114482,-1.19359795186475,0.705,0.836,1,"SLC9A7"
0.000876809623819024,1.34199775238184,0.525,0.251,1,"S100A8"
0.00088256391239825,1.42993478346257,0.377,0.12,1,"VAMP5"
0.000896273530057817,1.22833127245834,0.672,0.475,1,"RAB3D"
0.000920705070641396,-1.72133342545726,0.197,0.301,1,"TTYH2"
0.00106181340394468,1.11135065927503,0.525,0.23,1,"CKS2"
0.00112347524582626,1.60048648524775,0.377,0.153,1,"LPPR2"
0.00115567599515002,2.19741683057754,0.328,0.082,1,"ERN1"
0.00115569526650699,0.85681528959934,0.59,0.311,1,"ABCF1"
0.00115581555493723,-1.46962144369908,0.672,0.836,1,"MTMR9"
0.00137748921540912,0.888715372064913,0.426,0.169,1,"DIAPH1"
0.00140268742243331,0.910865338440374,0.541,0.377,1,"DERL1"
0.00147403845987606,0.989848660068396,0.508,0.273,1,"CD48"
0.00152772673665801,0.540954894406604,0.754,0.82,1,"ITPK1"
0.00153692652212177,-1.88494423739957,0.377,0.525,1,"LOC100505812"
0.00157193906176372,-0.65706321584739,0.475,0.667,1,"FLJ30403"
0.00164641932928196,1.20316977421852,0.361,0.137,1,"MGAT2"
0.00169889668051271,1.44558706764118,0.377,0.126,1,"RPL26L1"
0.00174985776720451,1.35518146108934,0.443,0.186,1,"VCAN"
0.00177831341284876,0.946370373099964,0.623,0.366,1,"PGS1"
0.00179647222939421,-1.32976903081081,0.213,0.361,1,"CENPT"
0.00188399156808817,1.05738830362757,0.754,0.699,1,"PCGF5"
0.00204806032548949,1.63393495670677,0.262,0.071,1,"SNAI1"
0.0020554224602475,0.732945203057992,0.639,0.333,1,"NAA15"
