"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070663","regulation of leukocyte proliferation","12/123","267/18870",1.79834361231289e-07,1.51842751961375e-05,1.29793495497365e-05,"MNDA/CORO1A/VSIR/CNN2/CD74/RASSF5/TNFSF13B/HLA-DMB/HLA-DRB1/BST1/HLA-DPB1/CCDC88B",12
"GO:0045657","positive regulation of monocyte differentiation","4/123","10/18870",3.50206821742885e-07,2.83375686593618e-05,2.42226385038829e-05,"CD74/HLA-DRB1/CD4/FES",4
"GO:0050670","regulation of lymphocyte proliferation","11/123","238/18870",4.54400478874142e-07,3.52978291989434e-05,3.0172191797243e-05,"MNDA/CORO1A/VSIR/CD74/RASSF5/TNFSF13B/HLA-DMB/HLA-DRB1/BST1/HLA-DPB1/CCDC88B",11
"GO:0070661","leukocyte proliferation","13/123","350/18870",4.82454952887072e-07,3.6035673788719e-05,3.08028931458669e-05,"MNDA/CORO1A/VSIR/CNN2/CD74/RASSF5/TNFSF13B/HLA-DMB/HLA-DRB1/BST1/CCND3/HLA-DPB1/CCDC88B",13
"GO:0032944","regulation of mononuclear cell proliferation","11/123","242/18870",5.36133684360987e-07,3.85619116677421e-05,3.29622931866384e-05,"MNDA/CORO1A/VSIR/CD74/RASSF5/TNFSF13B/HLA-DMB/HLA-DRB1/BST1/HLA-DPB1/CCDC88B",11
"GO:0045785","positive regulation of cell adhesion","15/123","482/18870",5.79482219553189e-07,4.01912310847247e-05,3.43550173020819e-05,"CORO1A/VSIR/CD74/TNFSF13B/HLA-DRA/FLOT2/HLA-DMB/HLA-DRB1/HLA-DRB5/CD4/UTRN/ITGA4/HLA-DPB1/CCDC88B/CSK",15
"GO:0046651","lymphocyte proliferation","12/123","307/18870",7.97621688083489e-07,5.3413148905453e-05,4.56569655937446e-05,"MNDA/CORO1A/VSIR/CD74/RASSF5/TNFSF13B/HLA-DMB/HLA-DRB1/BST1/CCND3/HLA-DPB1/CCDC88B",12
"GO:0032943","mononuclear cell proliferation","12/123","314/18870",1.01111983643351e-06,6.54531574117957e-05,5.59486309493208e-05,"MNDA/CORO1A/VSIR/CD74/RASSF5/TNFSF13B/HLA-DMB/HLA-DRB1/BST1/CCND3/HLA-DPB1/CCDC88B",12
"GO:0031349","positive regulation of defense response","14/123","480/18870",3.01602441088899e-06,0.000187495074283031,0.000160268704073033,"S100A9/FCN1/S100A8/CTSS/MNDA/LGALS2/S100A12/SPI1/CD300LF/OSM/CASP1/LRRK2/NAIP/PAK1",14
"GO:1903131","mononuclear cell differentiation","14/123","481/18870",3.08951718695004e-06,0.000187495074283031,0.000160268704073033,"FGL2/VSIR/CD74/TNFSF13B/SPI1/HLA-DRA/HLA-DRB1/CD4/TMEM176A/NFAM1/ITGA4/TMEM176B/FES/IKZF1",14
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","9/123","196/18870",5.55814379279654e-06,0.000327088340776087,0.000279591475637644,"S100A4/S100A12/CD74/CASP1/HLA-DRB1/CD4/TNFSF10/SECTM1/MAP3K3",9
"GO:0030593","neutrophil chemotaxis","7/123","107/18870",6.40228946897695e-06,0.000365683710257448,0.000312582368191228,"S100A9/S100A8/S100A12/RIPOR2/JAML/CD74/BST1",7
